LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	Yes
X_Columns	One
Time_Pref	Absolute
Operator	Microsoft
Date	2023/11/24
Time	16:46:27.6817073822021484375
***End_of_Header***	
	
Channels	1	
Samples	100000	
Date	2023/11/24	
Time	16:46:27.6817073822021484375	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.808625
1.000000	0.806854
2.000000	0.806693
3.000000	0.802022
4.000000	0.801700
5.000000	0.799284
6.000000	0.797835
7.000000	0.792681
8.000000	0.792842
9.000000	0.791071
10.000000	0.790105
11.000000	0.788655
12.000000	0.788172
13.000000	0.790910
14.000000	0.789299
15.000000	0.787850
16.000000	0.784468
17.000000	0.781891
18.000000	0.781086
19.000000	0.777060
20.000000	0.777704
21.000000	0.775288
22.000000	0.771101
23.000000	0.770940
24.000000	0.769330
25.000000	0.768363
26.000000	0.766753
27.000000	0.766914
28.000000	0.766753
29.000000	0.764015
30.000000	0.761438
31.000000	0.761277
32.000000	0.760472
33.000000	0.755963
34.000000	0.755641
35.000000	0.754352
36.000000	0.751775
37.000000	0.747588
38.000000	0.745495
39.000000	0.741630
40.000000	0.741630
41.000000	0.740824
42.000000	0.738087
43.000000	0.740663
44.000000	0.738892
45.000000	0.736154
46.000000	0.735349
47.000000	0.733094
48.000000	0.730517
49.000000	0.727779
50.000000	0.724559
51.000000	0.723270
52.000000	0.724075
53.000000	0.719405
54.000000	0.716184
55.000000	0.714735
56.000000	0.712641
57.000000	0.710709
58.000000	0.711192
59.000000	0.709581
60.000000	0.708293
61.000000	0.706360
62.000000	0.703945
63.000000	0.700402
64.000000	0.698469
65.000000	0.697503
66.000000	0.696053
67.000000	0.693315
68.000000	0.689933
69.000000	0.685585
70.000000	0.683008
71.000000	0.682203
72.000000	0.683814
73.000000	0.681720
74.000000	0.680110
75.000000	0.678982
76.000000	0.676728
77.000000	0.674634
78.000000	0.671735
79.000000	0.670125
80.000000	0.665776
81.000000	0.664166
82.000000	0.661267
83.000000	0.658368
84.000000	0.656597
85.000000	0.655308
86.000000	0.652409
87.000000	0.651121
88.000000	0.647417
89.000000	0.646290
90.000000	0.646934
91.000000	0.646290
92.000000	0.643230
93.000000	0.640170
94.000000	0.637593
95.000000	0.633889
96.000000	0.633567
97.000000	0.629219
98.000000	0.628413
99.000000	0.623582
100.000000	0.616979
101.000000	0.618268
102.000000	0.617784
103.000000	0.615369
104.000000	0.613919
105.000000	0.613114
106.000000	0.611987
107.000000	0.609249
108.000000	0.607155
109.000000	0.603934
110.000000	0.601358
111.000000	0.598298
112.000000	0.596848
113.000000	0.593627
114.000000	0.590084
115.000000	0.587347
116.000000	0.584770
117.000000	0.582676
118.000000	0.581549
119.000000	0.579616
120.000000	0.577523
121.000000	0.577201
122.000000	0.576234
123.000000	0.572852
124.000000	0.568504
125.000000	0.565927
126.000000	0.564639
127.000000	0.561901
128.000000	0.559485
129.000000	0.556587
130.000000	0.553044
131.000000	0.552238
132.000000	0.548373
133.000000	0.547085
134.000000	0.544347
135.000000	0.541126
136.000000	0.540321
137.000000	0.539516
138.000000	0.537261
139.000000	0.534684
140.000000	0.529853
141.000000	0.529048
142.000000	0.527920
143.000000	0.524538
144.000000	0.522767
145.000000	0.516647
